date,region,number
01/09/2020,London,314
12/06/2020,North West,170
11/06/2020,North West,177
10/06/2020,North West,225
09/06/2020,North West,218
31/08/2020,London,216
08/06/2020,North West,165
30/08/2020,London,133
07/06/2020,North West,128
29/08/2020,London,139
28/08/2020,London,220
27/08/2020,London,229
26/08/2020,London,164
25/08/2020,London,170
24/08/2020,London,195
23/08/2020,London,143
22/08/2020,London,118
06/06/2020,North West,132
21/08/2020,London,166
05/06/2020,North West,204
04/06/2020,North West,241
20/08/2020,London,204
03/06/2020,North West,256
19/08/2020,London,152
18/08/2020,London,181
17/08/2020,London,189
16/08/2020,London,88
02/06/2020,North West,287
01/06/2020,North West,260
31/05/2020,North West,233
30/05/2020,North West,216
15/08/2020,London,106
14/08/2020,London,126
13/08/2020,London,124
12/08/2020,London,161
11/08/2020,London,149
29/05/2020,North West,302
28/05/2020,North West,324
27/05/2020,North West,295
26/05/2020,North West,309
25/05/2020,North West,268
24/05/2020,North West,263
23/05/2020,North West,289
22/05/2020,North West,376
21/05/2020,North West,427
20/05/2020,North West,497
19/05/2020,North West,583
18/05/2020,North West,409
17/05/2020,North West,300
10/08/2020,London,143
09/08/2020,London,67
08/08/2020,London,55
07/08/2020,London,122
06/08/2020,London,105
05/08/2020,London,114
04/08/2020,London,104
16/05/2020,North West,407
15/05/2020,North West,392
14/05/2020,North West,427
13/05/2020,North West,526
12/05/2020,North West,549
11/05/2020,North West,531
10/05/2020,North West,346
09/05/2020,North West,344
08/05/2020,North West,482
07/05/2020,North West,508
03/08/2020,London,87
02/08/2020,London,76
01/08/2020,London,58
31/07/2020,London,73
30/07/2020,London,102
29/07/2020,London,99
28/07/2020,London,100
27/07/2020,London,100
26/07/2020,London,65
25/07/2020,London,56
24/07/2020,London,83
23/07/2020,London,70
22/07/2020,London,79
21/07/2020,London,82
06/05/2020,North West,585
20/07/2020,London,97
19/07/2020,London,41
18/07/2020,London,48
17/07/2020,London,48
05/05/2020,North West,576
16/07/2020,London,70
15/07/2020,London,76
14/07/2020,London,62
13/07/2020,London,85
12/07/2020,London,38
11/07/2020,London,19
10/07/2020,London,40
09/07/2020,London,54
08/07/2020,London,57
07/07/2020,London,60
04/05/2020,North West,427
06/07/2020,London,54
05/07/2020,London,51
03/05/2020,North West,492
04/07/2020,London,32
03/07/2020,London,38
02/07/2020,London,40
02/05/2020,North West,412
01/05/2020,North West,727
30/04/2020,North West,773
29/04/2020,North West,795
28/04/2020,North West,710
27/04/2020,North West,622
26/04/2020,North West,428
25/04/2020,North West,549
24/04/2020,North West,750
23/04/2020,North West,858
22/04/2020,North West,913
01/07/2020,London,42
21/04/2020,North West,693
30/06/2020,London,52
29/06/2020,London,58
28/06/2020,London,22
27/06/2020,London,32
26/06/2020,London,48
20/04/2020,North West,673
19/04/2020,North West,607
25/06/2020,London,57
24/06/2020,London,46
18/04/2020,North West,863
23/06/2020,London,48
22/06/2020,London,51
21/06/2020,London,27
20/06/2020,London,29
19/06/2020,London,37
18/06/2020,London,46
17/06/2020,London,42
17/04/2020,North West,579
16/04/2020,North West,778
15/04/2020,North West,696
14/04/2020,North West,633
16/06/2020,London,46
13/04/2020,North West,609
12/04/2020,North West,489
11/04/2020,North West,611
10/04/2020,North West,602
09/04/2020,North West,804
08/04/2020,North West,853
07/04/2020,North West,792
06/04/2020,North West,875
05/04/2020,North West,627
15/06/2020,London,41
04/04/2020,North West,602
03/04/2020,North West,682
02/04/2020,North West,678
01/04/2020,North West,619
14/06/2020,London,31
13/06/2020,London,39
12/06/2020,London,53
11/06/2020,London,47
10/06/2020,London,52
09/06/2020,London,71
08/06/2020,London,56
07/06/2020,London,45
06/06/2020,London,47
05/06/2020,London,46
04/06/2020,London,57
03/06/2020,London,79
02/06/2020,London,49
01/06/2020,London,49
31/05/2020,London,38
30/05/2020,London,39
31/03/2020,North West,556
29/05/2020,London,58
28/05/2020,London,74
27/05/2020,London,84
26/05/2020,London,65
25/05/2020,London,58
24/05/2020,London,50
23/05/2020,London,65
22/05/2020,London,83
21/05/2020,London,157
20/05/2020,London,143
19/05/2020,London,128
18/05/2020,London,113
17/05/2020,London,79
16/05/2020,London,75
30/03/2020,North West,507
29/03/2020,North West,359
28/03/2020,North West,322
27/03/2020,North West,333
15/05/2020,London,132
14/05/2020,London,158
13/05/2020,London,204
12/05/2020,London,193
11/05/2020,London,160
10/05/2020,London,125
09/05/2020,London,128
08/05/2020,London,206
