date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-12-15",region,E12000003,Yorkshire and The Humber,1490
"2020-09-02",region,E12000006,East of England,171
"2020-12-14",region,E12000003,Yorkshire and The Humber,1719
"2020-12-13",region,E12000003,Yorkshire and The Humber,1029
"2020-12-12",region,E12000003,Yorkshire and The Humber,948
"2020-12-11",region,E12000003,Yorkshire and The Humber,1231
"2020-12-10",region,E12000003,Yorkshire and The Humber,1219
"2020-09-01",region,E12000006,East of England,124
"2020-12-09",region,E12000003,Yorkshire and The Humber,1338
"2020-08-31",region,E12000006,East of England,101
"2020-12-08",region,E12000003,Yorkshire and The Humber,1343
"2020-12-07",region,E12000003,Yorkshire and The Humber,1405
"2020-08-30",region,E12000006,East of England,87
"2020-08-29",region,E12000006,East of England,80
"2020-08-28",region,E12000006,East of England,102
"2020-08-27",region,E12000006,East of England,121
"2020-08-26",region,E12000006,East of England,93
"2020-12-06",region,E12000003,Yorkshire and The Humber,864
"2020-12-05",region,E12000003,Yorkshire and The Humber,878
"2020-08-25",region,E12000006,East of England,100
"2020-12-04",region,E12000003,Yorkshire and The Humber,1050
"2020-08-24",region,E12000006,East of England,102
"2020-08-23",region,E12000006,East of England,52
"2020-08-22",region,E12000006,East of England,50
"2020-08-21",region,E12000006,East of England,63
"2020-08-20",region,E12000006,East of England,82
"2020-08-19",region,E12000006,East of England,63
"2020-12-03",region,E12000003,Yorkshire and The Humber,1153
"2020-12-02",region,E12000003,Yorkshire and The Humber,1338
"2020-08-18",region,E12000006,East of England,59
"2020-08-17",region,E12000006,East of England,63
"2020-08-16",region,E12000006,East of England,27
"2020-08-15",region,E12000006,East of England,31
"2020-12-01",region,E12000003,Yorkshire and The Humber,1485
"2020-08-14",region,E12000006,East of England,67
"2020-08-13",region,E12000006,East of England,61
"2020-08-12",region,E12000006,East of England,66
"2020-08-11",region,E12000006,East of England,47
"2020-08-10",region,E12000006,East of England,67
"2020-11-30",region,E12000003,Yorkshire and The Humber,1705
"2020-11-29",region,E12000003,Yorkshire and The Humber,1038
"2020-08-09",region,E12000006,East of England,23
"2020-08-08",region,E12000006,East of England,44
"2020-08-07",region,E12000006,East of England,68
"2020-08-06",region,E12000006,East of England,45
"2020-08-05",region,E12000006,East of England,53
"2020-11-28",region,E12000003,Yorkshire and The Humber,1092
"2020-08-04",region,E12000006,East of England,56
"2020-11-27",region,E12000003,Yorkshire and The Humber,1310
"2020-11-26",region,E12000003,Yorkshire and The Humber,1394
"2020-08-03",region,E12000006,East of England,68
"2020-08-02",region,E12000006,East of England,36
"2020-08-01",region,E12000006,East of England,22
"2020-11-25",region,E12000003,Yorkshire and The Humber,1610
"2020-11-24",region,E12000003,Yorkshire and The Humber,1762
"2020-11-23",region,E12000003,Yorkshire and The Humber,2059
"2020-11-22",region,E12000003,Yorkshire and The Humber,1350
"2020-07-31",region,E12000006,East of England,31
"2020-11-21",region,E12000003,Yorkshire and The Humber,1366
"2020-11-20",region,E12000003,Yorkshire and The Humber,1937
"2020-11-19",region,E12000003,Yorkshire and The Humber,2089
"2020-07-30",region,E12000006,East of England,52
"2020-07-29",region,E12000006,East of England,66
"2020-07-28",region,E12000006,East of England,56
"2020-07-27",region,E12000006,East of England,65
"2020-11-18",region,E12000003,Yorkshire and The Humber,2581
"2020-07-26",region,E12000006,East of England,26
"2020-07-25",region,E12000006,East of England,28
"2020-07-24",region,E12000006,East of England,79
"2020-07-23",region,E12000006,East of England,50
"2020-11-17",region,E12000003,Yorkshire and The Humber,3057
"2020-07-22",region,E12000006,East of England,54
"2020-11-16",region,E12000003,Yorkshire and The Humber,3278
"2020-11-15",region,E12000003,Yorkshire and The Humber,2094
"2020-11-14",region,E12000003,Yorkshire and The Humber,2502
"2020-07-21",region,E12000006,East of England,66
"2020-11-13",region,E12000003,Yorkshire and The Humber,3076
"2020-07-20",region,E12000006,East of England,81
"2020-11-12",region,E12000003,Yorkshire and The Humber,3199
"2020-11-11",region,E12000003,Yorkshire and The Humber,3703
"2020-11-10",region,E12000003,Yorkshire and The Humber,3771
"2020-11-09",region,E12000003,Yorkshire and The Humber,4490
"2020-11-08",region,E12000003,Yorkshire and The Humber,2893
"2020-11-07",region,E12000003,Yorkshire and The Humber,2833
"2020-11-06",region,E12000003,Yorkshire and The Humber,3634
"2020-07-19",region,E12000006,East of England,21
"2020-11-05",region,E12000003,Yorkshire and The Humber,3586
"2020-11-04",region,E12000003,Yorkshire and The Humber,3504
"2020-11-03",region,E12000003,Yorkshire and The Humber,3947
"2020-11-02",region,E12000003,Yorkshire and The Humber,4667
"2020-11-01",region,E12000003,Yorkshire and The Humber,2820
"2020-10-31",region,E12000003,Yorkshire and The Humber,2628
"2020-10-30",region,E12000003,Yorkshire and The Humber,3465
"2020-07-18",region,E12000006,East of England,29
"2020-07-17",region,E12000006,East of England,51
"2020-07-16",region,E12000006,East of England,61
"2020-07-15",region,E12000006,East of England,55
"2020-10-29",region,E12000003,Yorkshire and The Humber,3456
"2020-10-28",region,E12000003,Yorkshire and The Humber,3579
"2020-07-14",region,E12000006,East of England,81
"2020-07-13",region,E12000006,East of England,64
"2020-10-27",region,E12000003,Yorkshire and The Humber,3579
"2020-07-12",region,E12000006,East of England,35
"2020-10-26",region,E12000003,Yorkshire and The Humber,3849
"2020-07-11",region,E12000006,East of England,42
"2020-07-10",region,E12000006,East of England,49
"2020-10-25",region,E12000003,Yorkshire and The Humber,2150
"2020-10-24",region,E12000003,Yorkshire and The Humber,2250
"2020-10-23",region,E12000003,Yorkshire and The Humber,2978
"2020-10-22",region,E12000003,Yorkshire and The Humber,3300
"2020-10-21",region,E12000003,Yorkshire and The Humber,3491
"2020-10-20",region,E12000003,Yorkshire and The Humber,3565
"2020-07-09",region,E12000006,East of England,54
"2020-10-19",region,E12000003,Yorkshire and The Humber,3825
"2020-10-18",region,E12000003,Yorkshire and The Humber,2217
"2020-10-17",region,E12000003,Yorkshire and The Humber,2367
"2020-10-16",region,E12000003,Yorkshire and The Humber,2433
"2020-10-15",region,E12000003,Yorkshire and The Humber,2488
"2020-10-14",region,E12000003,Yorkshire and The Humber,2773
"2020-10-13",region,E12000003,Yorkshire and The Humber,2530
"2020-10-12",region,E12000003,Yorkshire and The Humber,2744
"2020-10-11",region,E12000003,Yorkshire and The Humber,1622
"2020-10-10",region,E12000003,Yorkshire and The Humber,1916
"2020-07-08",region,E12000006,East of England,77
"2020-10-09",region,E12000003,Yorkshire and The Humber,1869
"2020-10-08",region,E12000003,Yorkshire and The Humber,2425
"2020-07-07",region,E12000006,East of England,39
"2020-07-06",region,E12000006,East of England,56
"2020-07-05",region,E12000006,East of England,36
"2020-07-04",region,E12000006,East of England,42
"2020-10-07",region,E12000003,Yorkshire and The Humber,2657
"2020-10-06",region,E12000003,Yorkshire and The Humber,2415
"2020-10-05",region,E12000003,Yorkshire and The Humber,2267
"2020-07-03",region,E12000006,East of England,60
"2020-10-04",region,E12000003,Yorkshire and The Humber,1677
"2020-07-02",region,E12000006,East of England,63
"2020-07-01",region,E12000006,East of England,40
"2020-10-03",region,E12000003,Yorkshire and The Humber,1658
"2020-06-30",region,E12000006,East of England,34
"2020-06-29",region,E12000006,East of England,49
"2020-10-02",region,E12000003,Yorkshire and The Humber,2205
"2020-06-28",region,E12000006,East of England,25
"2020-10-01",region,E12000003,Yorkshire and The Humber,2134
"2020-06-27",region,E12000006,East of England,20
"2020-09-30",region,E12000003,Yorkshire and The Humber,1787
"2020-06-26",region,E12000006,East of England,59
"2020-09-29",region,E12000003,Yorkshire and The Humber,1383
"2020-06-25",region,E12000006,East of England,39
"2020-06-24",region,E12000006,East of England,60
"2020-06-23",region,E12000006,East of England,44
"2020-06-22",region,E12000006,East of England,74
"2020-09-28",region,E12000003,Yorkshire and The Humber,1450
"2020-06-21",region,E12000006,East of England,57
"2020-06-20",region,E12000006,East of England,31
"2020-06-19",region,E12000006,East of England,74
"2020-09-27",region,E12000003,Yorkshire and The Humber,1024
"2020-06-18",region,E12000006,East of England,83
"2020-06-17",region,E12000006,East of England,77
"2020-09-26",region,E12000003,Yorkshire and The Humber,823
"2020-09-25",region,E12000003,Yorkshire and The Humber,800
"2020-09-24",region,E12000003,Yorkshire and The Humber,922
"2020-09-23",region,E12000003,Yorkshire and The Humber,728
"2020-09-22",region,E12000003,Yorkshire and The Humber,714
"2020-09-21",region,E12000003,Yorkshire and The Humber,616
"2020-09-20",region,E12000003,Yorkshire and The Humber,665
"2020-09-19",region,E12000003,Yorkshire and The Humber,559
"2020-09-18",region,E12000003,Yorkshire and The Humber,557
"2020-09-17",region,E12000003,Yorkshire and The Humber,569
"2020-09-16",region,E12000003,Yorkshire and The Humber,545
"2020-09-15",region,E12000003,Yorkshire and The Humber,419
"2020-09-14",region,E12000003,Yorkshire and The Humber,387
"2020-06-16",region,E12000006,East of England,108
"2020-06-15",region,E12000006,East of England,113
"2020-06-14",region,E12000006,East of England,73
"2020-06-13",region,E12000006,East of England,89
"2020-06-12",region,E12000006,East of England,65
"2020-06-11",region,E12000006,East of England,70
"2020-06-10",region,E12000006,East of England,118
"2020-06-09",region,E12000006,East of England,130
"2020-06-08",region,E12000006,East of England,94
"2020-06-07",region,E12000006,East of England,46
"2020-06-06",region,E12000006,East of England,93
"2020-06-05",region,E12000006,East of England,110
"2020-06-04",region,E12000006,East of England,93
"2020-09-13",region,E12000003,Yorkshire and The Humber,297
"2020-06-03",region,E12000006,East of England,123
"2020-09-12",region,E12000003,Yorkshire and The Humber,313
"2020-09-11",region,E12000003,Yorkshire and The Humber,384
"2020-09-10",region,E12000003,Yorkshire and The Humber,461
"2020-09-09",region,E12000003,Yorkshire and The Humber,393
"2020-09-08",region,E12000003,Yorkshire and The Humber,381
"2020-09-07",region,E12000003,Yorkshire and The Humber,524
"2020-09-06",region,E12000003,Yorkshire and The Humber,305
"2020-06-02",region,E12000006,East of England,130
"2020-06-01",region,E12000006,East of England,138
"2020-09-05",region,E12000003,Yorkshire and The Humber,312
"2020-05-31",region,E12000006,East of England,61
"2020-09-04",region,E12000003,Yorkshire and The Humber,302
"2020-05-30",region,E12000006,East of England,83
"2020-05-29",region,E12000006,East of England,160
"2020-09-03",region,E12000003,Yorkshire and The Humber,335
"2020-09-02",region,E12000003,Yorkshire and The Humber,373
"2020-09-01",region,E12000003,Yorkshire and The Humber,263
"2020-08-31",region,E12000003,Yorkshire and The Humber,192
"2020-05-28",region,E12000006,East of England,163
"2020-05-27",region,E12000006,East of England,150
"2020-05-26",region,E12000006,East of England,149
"2020-05-25",region,E12000006,East of England,147
"2020-05-24",region,E12000006,East of England,103
"2020-08-30",region,E12000003,Yorkshire and The Humber,143
"2020-08-29",region,E12000003,Yorkshire and The Humber,170
"2020-08-28",region,E12000003,Yorkshire and The Humber,161
"2020-08-27",region,E12000003,Yorkshire and The Humber,192
"2020-08-26",region,E12000003,Yorkshire and The Humber,119
"2020-05-23",region,E12000006,East of England,150
"2020-05-22",region,E12000006,East of England,190
"2020-08-25",region,E12000003,Yorkshire and The Humber,135
"2020-08-24",region,E12000003,Yorkshire and The Humber,150
"2020-05-21",region,E12000006,East of England,246
"2020-08-23",region,E12000003,Yorkshire and The Humber,93
"2020-05-20",region,E12000006,East of England,243
"2020-05-19",region,E12000006,East of England,255
"2020-05-18",region,E12000006,East of England,283
"2020-05-17",region,E12000006,East of England,154
"2020-05-16",region,E12000006,East of England,174
"2020-05-15",region,E12000006,East of England,210
"2020-08-22",region,E12000003,Yorkshire and The Humber,89
"2020-08-21",region,E12000003,Yorkshire and The Humber,129
"2020-05-14",region,E12000006,East of England,217
"2020-05-13",region,E12000006,East of England,330
"2020-05-12",region,E12000006,East of England,315
"2020-08-20",region,E12000003,Yorkshire and The Humber,165
"2020-08-19",region,E12000003,Yorkshire and The Humber,140
"2020-05-11",region,E12000006,East of England,391
"2020-08-18",region,E12000003,Yorkshire and The Humber,122
"2020-08-17",region,E12000003,Yorkshire and The Humber,126
"2020-08-16",region,E12000003,Yorkshire and The Humber,79
"2020-08-15",region,E12000003,Yorkshire and The Humber,108
"2020-08-14",region,E12000003,Yorkshire and The Humber,161
"2020-08-13",region,E12000003,Yorkshire and The Humber,179
"2020-05-10",region,E12000006,East of England,209
"2020-05-09",region,E12000006,East of England,203
"2020-05-08",region,E12000006,East of England,229
"2020-05-07",region,E12000006,East of England,396
"2020-08-12",region,E12000003,Yorkshire and The Humber,171
"2020-05-06",region,E12000006,East of England,388
"2020-08-11",region,E12000003,Yorkshire and The Humber,185
"2020-08-10",region,E12000003,Yorkshire and The Humber,221
"2020-08-09",region,E12000003,Yorkshire and The Humber,97
"2020-08-08",region,E12000003,Yorkshire and The Humber,104
"2020-08-07",region,E12000003,Yorkshire and The Humber,120
"2020-08-06",region,E12000003,Yorkshire and The Humber,177
"2020-05-05",region,E12000006,East of England,330
"2020-08-05",region,E12000003,Yorkshire and The Humber,157
"2020-05-04",region,E12000006,East of England,391
"2020-08-04",region,E12000003,Yorkshire and The Humber,146
"2020-05-03",region,E12000006,East of England,317
"2020-08-03",region,E12000003,Yorkshire and The Humber,144
"2020-05-02",region,E12000006,East of England,302
"2020-08-02",region,E12000003,Yorkshire and The Humber,85
"2020-08-01",region,E12000003,Yorkshire and The Humber,81
"2020-07-31",region,E12000003,Yorkshire and The Humber,99
"2020-07-30",region,E12000003,Yorkshire and The Humber,140
"2020-05-01",region,E12000006,East of England,493
"2020-04-30",region,E12000006,East of England,424
"2020-04-29",region,E12000006,East of England,475
"2020-04-28",region,E12000006,East of England,463
"2020-04-27",region,E12000006,East of England,511
"2020-04-26",region,E12000006,East of England,358
"2020-07-29",region,E12000003,Yorkshire and The Humber,163
"2020-07-28",region,E12000003,Yorkshire and The Humber,150
"2020-07-27",region,E12000003,Yorkshire and The Humber,143
"2020-04-25",region,E12000006,East of England,377
"2020-04-24",region,E12000006,East of England,423
"2020-12-28",region,E12000008,South East,264
"2020-04-23",region,E12000006,East of England,476
"2020-12-27",region,E12000008,South East,4456
"2020-12-26",region,E12000008,South East,6429
"2020-07-26",region,E12000003,Yorkshire and The Humber,91
"2020-04-22",region,E12000006,East of England,522
"2020-07-25",region,E12000003,Yorkshire and The Humber,88
"2020-07-24",region,E12000003,Yorkshire and The Humber,108
"2020-04-21",region,E12000006,East of England,406
"2020-12-25",region,E12000008,South East,2247
"2020-07-23",region,E12000003,Yorkshire and The Humber,106
"2020-12-24",region,E12000008,South East,5301
"2020-12-23",region,E12000008,South East,6724
"2020-12-22",region,E12000008,South East,8249
"2020-12-21",region,E12000008,South East,8791
"2020-12-20",region,E12000008,South East,5963
"2020-07-22",region,E12000003,Yorkshire and The Humber,103
"2020-12-19",region,E12000008,South East,3959
